title,year,ids.trakt,ids.slug,ids.imdb,ids.tmdb,watchers,certification,poster_url
Harry Potter and the Deathly Hallows: Part 2,2011,7229,harry-potter-and-the-deathly-hallows-part-2-2011,tt1201607,12445,60,PG-13,https://walter-r2.trakt.tv/images/movies/000/007/229/posters/thumb/77092b6662.jpg.webp
Star Wars,1977,7,star-wars-1977,tt0076759,11,58,PG,https://walter-r2.trakt.tv/images/movies/000/000/007/posters/thumb/a4f84e22e4.jpg.webp
Tombstone,1993,6982,tombstone-1993,tt0108358,11969,58,R,https://walter-r2.trakt.tv/images/movies/000/006/982/posters/thumb/0253ee03f8.jpg.webp
Logan,2017,161972,logan-2017,tt3315342,263115,57,R,https://walter-r2.trakt.tv/images/movies/000/161/972/posters/thumb/b3586cb36b.jpg.webp
Batman Begins,2005,228,batman-begins-2005,tt0372784,272,57,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/228/posters/thumb/dc2a3555df.jpg.webp
Ant-Man,2015,73582,ant-man-2015,tt0478970,102899,57,PG-13,https://walter-r2.trakt.tv/images/movies/000/073/582/posters/thumb/b1db8bb8c3.jpg.webp
Despicable Me,2010,12496,despicable-me-2010,tt1323594,20352,57,PG,https://walter-r2.trakt.tv/images/movies/000/012/496/posters/thumb/eec86039d4.jpg.webp
Frozen II,2019,211394,frozen-ii-2019,tt4520988,330457,57,PG,https://walter-r2.trakt.tv/images/movies/000/211/394/posters/thumb/3c30bdd9c2.jpg.webp
Black Panther,2018,181313,black-panther-2018,tt1825683,284054,56,PG-13,https://walter-r2.trakt.tv/images/movies/000/181/313/posters/thumb/a37c06d644.jpg.webp
The Batman,2022,259852,the-batman-2022,tt1877830,414906,56,PG-13,https://walter-r2.trakt.tv/images/movies/000/259/852/posters/thumb/edaa502030.jpg.webp
Wonder Woman,2017,192487,wonder-woman-2017,tt0451279,297762,55,PG-13,https://walter-r2.trakt.tv/images/movies/000/192/487/posters/thumb/deef7a5830.jpg.webp
Pulp Fiction,1994,554,pulp-fiction-1994,tt0110912,680,55,R,https://walter-r2.trakt.tv/images/movies/000/000/554/posters/thumb/86f34f1038.jpg.webp
Gladiator,2000,67,gladiator-2000,tt0172495,98,55,R,https://walter-r2.trakt.tv/images/movies/000/000/067/posters/thumb/a897083955.jpg.webp
Coco,2017,222605,coco-2017,tt2380307,354912,55,PG,https://walter-r2.trakt.tv/images/movies/000/222/605/posters/thumb/8ab478090f.jpg.webp
Cars,2006,762,cars-2006,tt0317219,920,55,G,https://walter-r2.trakt.tv/images/movies/000/000/762/posters/thumb/b6b5f0fa46.jpg.webp
Doctor Strange in the Multiverse of Madness,2022,299910,doctor-strange-in-the-multiverse-of-madness-2022,tt9419884,453395,55,PG-13,https://walter-r2.trakt.tv/images/movies/000/299/910/posters/thumb/4fa84f889e.jpg.webp
Twisters,2024,561219,twisters-2024,tt12584954,718821,55,PG-13,https://walter-r2.trakt.tv/images/movies/000/561/219/posters/thumb/c7ab36264f.jpg.webp
Back to the Future,1985,74,back-to-the-future-1985,tt0088763,105,54,PG,https://walter-r2.trakt.tv/images/movies/000/000/074/posters/thumb/c608400a0d.jpg.webp
Deadpool 2,2018,226108,deadpool-2-2018,tt5463162,383498,54,R,https://walter-r2.trakt.tv/images/movies/000/226/108/posters/thumb/09507d6cc7.jpg.webp
Edge of Tomorrow,2014,92230,edge-of-tomorrow-2014,tt1631867,137113,54,PG-13,https://walter-r2.trakt.tv/images/movies/000/092/230/posters/thumb/08bdd53fda.jpg.webp
John Wick: Chapter 2,2017,205127,john-wick-chapter-2-2017,tt4425200,324552,53,R,https://walter-r2.trakt.tv/images/movies/000/205/127/posters/thumb/59972d4fb2.jpg.webp
Kingsman: The Secret Service,2015,128888,kingsman-the-secret-service-2015,tt2802144,207703,53,R,https://walter-r2.trakt.tv/images/movies/000/128/888/posters/thumb/a500e143bf.jpg.webp
Thor,2011,5408,thor-2011,tt0800369,10195,53,PG-13,https://walter-r2.trakt.tv/images/movies/000/005/408/posters/thumb/6e6e8c856d.jpg.webp
The Incredibles,2004,5065,the-incredibles-2004,tt0317705,9806,53,PG,https://walter-r2.trakt.tv/images/movies/000/005/065/posters/thumb/17b5d88aba.jpg.webp
Heat,1995,789,heat-1995,tt0113277,949,53,R,https://walter-r2.trakt.tv/images/movies/000/000/789/posters/thumb/102bb5a41e.jpg.webp
Captain America: The Winter Soldier,2014,72297,captain-america-the-winter-soldier-2014,tt1843866,100402,52,PG-13,https://walter-r2.trakt.tv/images/movies/000/072/297/posters/thumb/563efc9b64.jpg.webp
Jumanji: Welcome to the Jungle,2017,222254,jumanji-welcome-to-the-jungle-2017,tt2283362,353486,52,PG-13,https://walter-r2.trakt.tv/images/movies/000/222/254/posters/thumb/8de8447aaf.jpg.webp
Toy Story 2,1999,706,toy-story-2-1999,tt0120363,863,52,G,https://walter-r2.trakt.tv/images/movies/000/000/706/posters/thumb/7e07de2ea0.jpg.webp
Avatar: The Way of Water,2022,56580,avatar-the-way-of-water-2022,tt1630029,76600,52,PG-13,https://walter-r2.trakt.tv/images/movies/000/056/580/posters/thumb/ef9d678e06.jpg.webp
Ready Player One,2018,214279,ready-player-one-2018,tt1677720,333339,51,PG-13,https://walter-r2.trakt.tv/images/movies/000/214/279/posters/thumb/50752f5a7f.jpg.webp
The Silence of the Lambs,1991,230,the-silence-of-the-lambs-1991,tt0102926,274,51,R,https://walter-r2.trakt.tv/images/movies/000/000/230/posters/thumb/496f1a8bf5.jpg.webp
The Brutalist,2024,399330,the-brutalist-2024,tt8999762,549509,51,R,https://walter-r2.trakt.tv/images/movies/000/399/330/posters/thumb/33a922b372.jpg.webp
